rows__row__sentence_good,rows__row__sentence_bad,log(P(S1)),log(P(S2)),log(P(S1)) > log(P(S2))
Tina revealed Margaret.,The horse revealed Margaret.,,,
Danielle visited Irene.,The eye visited Irene.,,,
Paul runs around the art galleries.,The river runs around the art galleries.,,,
Most banks have praised Raymond.,The jackets have praised Raymond.,,,
Every doctor was selling some restaurants.,A cup was selling some restaurants.,,,
Steve bikes to a public park.,Every fork bikes to a public park.,,,
Beth scares Roger.,A carriage scares Roger.,,,
Melissa will clean a gate.,This mouth will clean a gate.,,,
Tanya conceals Adam.,This ice cream conceals Adam.,,,
Renee had praised Eric.,The beef had praised Eric.,,,
Mark hasn't respected a lot of actors.,Every government hasn't respected a lot of actors.,,,
Matt could argue about Bethany.,Every mall could argue about Bethany.,,,
Kathleen can't fix every carriage.,Some newspaper article can't fix every carriage.,,,
Denise wasn't referencing Homer.,Rice wasn't referencing Homer.,,,
Vanessa visits Judy.,The ice cream visits Judy.,,,
Beverly would scan a movie.,A pepper would scan a movie.,,,
Liam has respected many waiters.,That banana has respected many waiters.,,,
Some person hadn't passed all high schools.,That casserole hadn't passed all high schools.,,,
Carlos has sounded like all hospitals.,This ice has sounded like all hospitals.,,,
Wendy walked through some schools.,The spotlight walked through some schools.,,,
Steve hasn't returned to a dancer.,The nose hasn't returned to a dancer.,,,
Anne wasn't thinking about Paula.,Art wasn't thinking about Paula.,,,
Some women were scanning the essay.,A lot of dishes were scanning the essay.,,,
Victoria wouldn't insult a man.,That unicycle wouldn't insult a man.,,,
Peter isn't thinking about a lot of schools.,Some turtle isn't thinking about a lot of schools.,,,
Samuel shouldn't hate Susan.,Art shouldn't hate Susan.,,,
Karla drives to every grocery store.,This chair drives to every grocery store.,,,
Omar isn't talking to Erin.,A legislature isn't talking to Erin.,,,
Galileo had talked to Stephanie.,This car had talked to Stephanie.,,,
Mitchell criticized Amy.,Some art gallery criticized Amy.,,,
Clyde couldn't forget Phillip.,That sketch couldn't forget Phillip.,,,
Most companies have remembered Jesus.,These chairs have remembered Jesus.,,,
Tina hasn't respected Florence.,Art hasn't respected Florence.,,,
Phillip can talk to those waitresses.,This pasta can talk to those waitresses.,,,
Matt discovered a lot of spotlights.,Every ladder discovered a lot of spotlights.,,,
Gina talks to Joseph.,Fish talks to Joseph.,,,
Kendra hasn't attacked some guys.,That window hasn't attacked some guys.,,,
Ella discovered Matt.,This association discovered Matt.,,,
Valerie isn't passing high schools.,A public park isn't passing high schools.,,,
Carrie isn't listening to Jodi.,That movie theater isn't listening to Jodi.,,,
Russell hasn't escaped from some museum.,That picture hasn't escaped from some museum.,,,
This customer was arguing about Karen.,A report was arguing about Karen.,,,
Roger will watch that guest.,Some beef will watch that guest.,,,
Becky tours a lot of banks.,This rug tours a lot of banks.,,,
Chad isn't observing that cashier.,This casserole isn't observing that cashier.,,,
The girls weren't skated around a museum.,All snakes weren't skated around a museum.,,,
Brad hasn't returned to most pedestrians.,This dish hasn't returned to most pedestrians.,,,
Stacey toured the hill.,Some rice toured the hill.,,,
Jodi boycotted the closets.,Every committee boycotted the closets.,,,
Laura doesn't bring some boxes.,The painting doesn't bring some boxes.,,,
Every lady lifts this gate.,This report lifts this gate.,,,
Tanya admires Melanie.,Music admires Melanie.,,,
Erin wouldn't drive to the hill.,The coat wouldn't drive to the hill.,,,
Heidi hadn't concealed all socks.,The movie theater hadn't concealed all socks.,,,
Natalie complains about Caroline.,A rabbit complains about Caroline.,,,
Elaine might flee from Ronald.,That university might flee from Ronald.,,,
Some associations are admiring Alexander.,The dishes are admiring Alexander.,,,
Paula admired Kenneth.,Some river admired Kenneth.,,,
Brenda dropped by a river.,This book dropped by a river.,,,
A senator drops by every lake.,The muffin drops by every lake.,,,
Carla can't watch Sara.,The tomato can't watch Sara.,,,
Pamela reveals Dana.,That carriage reveals Dana.,,,
Steven hasn't talked about Sara.,That window hasn't talked about Sara.,,,
Every library isn't praising Alexander.,The tomato isn't praising Alexander.,,,
Tamara hates Julia.,This ice hates Julia.,,,
Alan messed up some college campus.,A gate messed up some college campus.,,,
Paul fires Russell.,This truck fires Russell.,,,
Beverly wasn't examining books.,The bike wasn't examining books.,,,
Dawn hadn't forgotten Diana.,Some government hadn't forgotten Diana.,,,
Ella has forgotten Michael.,Spain has forgotten Michael.,,,
Alice fires Ruth.,Some plate fires Ruth.,,,
A lot of actors bought mountains.,All horses bought mountains.,,,
Amelia questioned Valerie.,The lake questioned Valerie.,,,
Pamela hadn't attacked a lot of cashiers.,This coat hadn't attacked a lot of cashiers.,,,
Leslie hadn't fixed this cart.,That sweater hadn't fixed this cart.,,,
Douglas hadn't argued about Samuel.,The carriage hadn't argued about Samuel.,,,
Kenneth isn't cleaning a jacket.,Spinach isn't cleaning a jacket.,,,
Florence hadn't fled from banks.,Every university hadn't fled from banks.,,,
Jill cleaned all ladders.,The door cleaned all ladders.,,,
Some cashier isn't complaining about these ladies.,The sketch isn't complaining about these ladies.,,,
Deborah drove to some college campuses.,Some commentary drove to some college campuses.,,,
Theresa visits Patricia.,The nose visits Patricia.,,,
Carl cleans this dress.,Bread cleans this dress.,,,
Melanie won't notice Carol.,This ice cream won't notice Carol.,,,
Russell was running around that school.,The sweater was running around that school.,,,
Candice can't kiss these people.,Some high school can't kiss these people.,,,
Matt was going to restaurants.,The cucumber was going to restaurants.,,,
Every guest isn't leaving Eva.,Art isn't leaving Eva.,,,
Dawn can't go to a mall.,Some window can't go to a mall.,,,
Tonya hadn't healed most horses.,This dish hadn't healed most horses.,,,
Kimberley bikes to the Great Lakes.,Every newspaper article bikes to the Great Lakes.,,,
Wayne was attacking Cindy.,Every plane was attacking Cindy.,,,
Emily hadn't questioned that actor.,Some pepper hadn't questioned that actor.,,,
Deborah can't run around the Great Lakes.,A newspaper article can't run around the Great Lakes.,,,
Aaron messed up these glasses.,That government messed up these glasses.,,,
Lawrence fled from Brad.,Literature fled from Brad.,,,
These dancers should investigate Caroline.,Glaciers should investigate Caroline.,,,
Mitchell can't complain about Peter.,This window can't complain about Peter.,,,
Every doctor wasn't describing a river.,This story wasn't describing a river.,,,
Sally concealed Kirsten.,This beef concealed Kirsten.,,,